customer_id,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00
3791924,1,7,19,27,14,12,12,6,7,24,0,0,0,2,0,2,0,0,5,11,0,8,6,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,2
3796536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,4,13,22,0,0,0,0,29,4,5,4,2,2,0,13,2,0,7,1,0
3797444,14,124,73,10,21,35,372,65,0,40,61,0,9,8,40,0,25,82,156,56,9,150,32,6,67,10,11,38,28,54,14,8,15,6,20,23,12,58,1
3822254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,11,8,0,4,8,8,13,11,20,2,2,3,1,1,1,0,4,0
3841179,0,2,10,1,9,63,12,6,6,5,4,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3850734,0,0,0,0,0,0,0,0,0,21,23,0,0,2,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3851242,1,4,7,5,5,16,7,5,8,0,3,0,0,3,0,0,0,0,0,0,14,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3851754,0,0,0,4,0,2,0,0,0,11,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3857700,4,6,9,0,0,0,0,10,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3865026,0,0,0,0,0,0,0,2,5,14,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3870346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,16,1,7,0,1,4,0,3,0,0,0,0
3870707,0,0,4,0,0,0,0,0,0,0,10,0,0,0,2,0,0,11,0,0,0,15,2,40,21,16,7,0,0,0,8,0,0,6,0,0,0,2,2
3871090,0,0,0,0,7,6,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0
3874635,49,42,25,7,2,0,18,13,10,21,37,0,2,13,3,11,0,20,12,8,20,34,10,2,12,5,6,21,14,21,6,5,20,5,3,7,5,0,0
3878341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3880207,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,12,13,3,9,29,6,0,0,5,7,0,0,21,0,8,0,2,0,0,0,7,0
3883803,5,1,0,8,18,16,0,0,65,52,26,23,7,3,0,0,7,16,15,4,1,3,3,3,11,6,21,0,0,0,5,4,0,0,0,5,0,0,0
3885600,0,20,0,25,26,5,0,53,3,28,17,0,6,1,7,0,13,0,0,0,1,9,0,0,15,5,1,12,8,10,25,9,21,25,26,1,7,13,10
3891070,0,0,4,10,85,147,89,53,43,131,59,2,0,6,16,3,24,10,0,11,11,0,0,15,9,14,10,19,19,9,25,5,19,42,10,0,0,7,0
3894079,0,3,17,0,0,0,2,113,18,5,0,0,0,0,0,0,2,8,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3897107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
